nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Péripléties,NGMdlOmv-Oo,🔴 Le LIVE des 50 000 Péripotes : on vous répond ! 🎉😎,2021-09-19,203,4886.0,4.99,1,4.99,3.68,10965,1305,115
Péripléties,kSoLrtcZ6g4,[LIVE] Covid-19 : tous nos voyages annulés !,2020-04-05,735,6354.0,0.0,0,0.0,0.0,9033,863,54
Péripléties,2A4FVu-Azkk,[LIVE] 10 000 abonnés ! (Replay - version longue),2020-01-12,819,5454.0,0.0,0,0.0,0.0,4188,595,69
Péripléties,uwO07UDwBdk,[LIVE] On fête nos 1000 abonnés ! (+ FAQ),2019-03-03,1134,2889.0,0.0,0,0.0,0.0,954,107,12
Spectreholow,22BC6oItJpU,INVOCATIONS LILIA BLEU STEP UP ET EVIL GOWTHER BOSS [THE SEVEN DEADLY SINS GRAND CROSS GLOBAL FR ],2020-06-16,663,19259.0,0.0,0,0.0,0.0,6169,348,1
Spectreholow,cnVnmjrlXjs,UN NOUVEAU RANG Z - SAVANTARD DE CRISTAL SSS - YO-KAI WATCH PUNI PUNI JAP FR #55,2019-02-14,1151,7556.0,0.0,0,0.0,0.0,6156,303,114
Spectreholow,PaLyZehD1gk,YO-KAI WATCH PUNI PUNI JAP FR #49 - EVENT FINAL FANTASY UN NOUVEAU RANG Z !,2018-11-15,1242,19944.0,0.99,1,0.99,0.18,9045,316,145
Spectreholow,moSeIkr_7BA,POKEMON SHUFFLE ET INAZUMA ELEVEN GO GALAXY BIG BANG ET SUPERNOVA FR #08,2019-06-22,1023,14721.0,5.0,1,5.0,1.22,5508,222,29
Spectreholow,XRPI3D5Er6g,🔴 Pokemon Let's Go Pikachu FR - ON COMPLETE LE POKEDEX #1,2018-12-05,1222,16954.0,0.0,0,0.0,0.0,2354,113,4
Spectreholow,4I1XcRu1njM,TOUR DE COMBAT POKEMON ÉPÉE ET BOUCLIER FR (PAS DE SPOIL SVP ! ),2019-11-20,872,15765.0,12.0,5,2.4,2.74,12235,305,8
Spectreholow,wTQMqPNvmpM,REVIEW LIVE DRAGON QUEST XI S NINTENDO SWITCH,2019-09-29,924,20551.0,0.0,0,0.0,0.0,914,79,5
Spectreholow,4LMvIDtno7U,MONSTER HUNTER GENERATIONS ULTIMATE SWITCH GAMEPLAY FR - JE DEVIENS UN CHASSEUR !!!,2018-08-29,1320,9561.0,0.0,0,0.0,0.0,4079,117,5
Spectreholow,jHnfmfLlk1c,"MODE HISTOIRE CHAPITRE 6,5 ET INVOCATIONS - SEVEN DEADLY SINS GRAND CROSS GLOBAL IOS & ANDROID",2020-03-18,753,17452.0,6.0,3,2.0,1.24,6141,338,4
